;titles;years;category
233;A mobile application of American sign language translation via image processing algorithms; 2016 ;Image Translation
234;Adversarial image translation: Unrestricted adversarial examples in face recognition systems; 2019 ;Image Translation
235;Translation and validation of body image instruments: Challenges, good practice guidelines, and reporting recommendations for test adaptation; 2019 ;Image Translation
236;Findings of the second shared task on multimodal machine translation and multilingual image description; 2017 ;Image Translation
237;The plurisemiotics of pop song translation: Words, music, voice and image; 2005 ;Image Translation
238;[PDF] Text and image in translation; 2016 ;Image Translation
239;Multi-density sketch-to-image translation network; 2021 ;Image Translation
240;Automatic visual to tactile translation. i. human factors, access methods and image manipulation; 1997 ;Image Translation
241;Explicitly disentangling image content from translation and rotation with spatial-VAE; 2019 ;Image Translation
242;Semantic translation of face image with limited pixels for simulated prosthetic vision; 2022 ;Image Translation
243;Does multimodality help human and machine for translation and image captioning?; 2016 ;Image Translation
244;Non-visual to visual translation for cross-domain face recognition; 2020 ;Image Translation
245;Mocycle-gan: Unpaired video-to-video translation; 2019 ;Image Translation
246;Skeleton based action recognition using translation-scale invariant image mapping and multi-scale deep CNN; 2017 ;Image Translation
247;The image of translation in science fiction & astronomy; 1996 ;Image Translation
248;Image-to-voxel model translation for 3d scene reconstruction and segmentation; 2020 ;Image Translation
249;Image-to-images translation for multi-task organ segmentation and bone suppression in chest x-ray radiography; 2020 ;Image Translation
250;[HTML] Roto-translation equivariant convolutional networks: Application to histopathology image analysis; 2021 ;Image Translation
251;[CITATION] Web image search by automatic image annotation and translation; 2010 ;Image Translation
252;Image-to-voxel model translation with conditional adversarial networks; 2018 ;Image Translation
253;Symmetric phase-only matched filtering of Fourier-Mellin transforms for image registration and recognition; 1994 ;Image Translation
254;Automatic visual to tactile translation. II. Evaluation of the TACTile image creation system; 1997 ;Image Translation
255;Image-guided drug delivery: preclinical applications and clinical translation; 2015 ;Image Translation
256;The Absent Image: Ekphrasis and theInfinite Relation'of Translation; 2007 ;Image Translation
257;Translation invariants of Zernike moments; 2003 ;Image Translation
258;Computation of component image velocity from local phase information; 1990 ;Image Translation
259;Which way round? A study on the performance of stain-translation for segmenting arbitrarily dyed histological images; 2018 ;Image Translation
260;Empathy in translation: Movement and image in the psychological laboratory; 2012 ;Image Translation
261;Translation and scale invariants of Tchebichef moments; 2007 ;Image Translation
262;A comparison of the effects of image-schema-based instruction and translation-based instruction on the acquisition of L2 polysemous words; 2007 ;Image Translation
263;[PDF] An image registration technique for recovering rotation, scale and translation parameters; 1998 ;Image Translation
264;Translation, rotation and scale stabilisation of image sequences; 2003 ;Image Translation
265;A Dual-Generator Translation Network Fusing Texture and Structure Features for SAR and Optical Image Matching; 2022 ;Image Translation
266;Neural machine translation with latent semantic of image and text; 2016 ;Image Translation
267;Network-to-network translation with conditional invertible neural networks; 2020 ;Image Translation
268;A rotation, translation, and scale-invariant approach to content-based image retrieval; 1999 ;Image Translation
269;[PDF] Translation of Words with Cultural Image.; 2010 ;Image Translation
270;Vernier acuity during image rotation and translation: visual performance limits; 1995 ;Image Translation
271;Affine reconstruction from perspective image pairs with a relative object-camera translation in between; 1996 ;Image Translation
272;Template matching using the parametric template vector with translation, rotation and scale invariance; 2008 ;Image Translation
273;Magnetic resonance image analysis of meniscal translation and tibio‐menisco‐femoral contact in deep knee flexion; 2008 ;Image Translation
274;Minimal surfaces in the roto-translation group with applications to a neuro-biological image completion model; 2010 ;Image Translation
275;The virtual image: Brazilian literature in English translation;HG Barbosa ;Image Translation
276;Time: text and image mutual-translation adversarial networks; 2021 ;Image Translation
277;Anatomically constrained CT image translation for heterogeneous blood vessel segmentation; 2022 ;Image Translation
278;Specular-to-diffuse translation for multi-view reconstruction; 2018 ;Image Translation
279;Architectural Machine Translation; 2022 ;Image Translation
280;Unpaired photo-to-caricature translation on faces in the wild; 2019 ;Image Translation
281;Adversarial pulmonary pathology translation for pairwise chest X-ray data augmentation; 2019 ;Image Translation
282;Image to text translation by multi-label classification; 2010 ;Image Translation
283;Unsupervised image to sequence translation with canvas-drawer networks; 2018 ;Image Translation
284;Image analysis via the general theory of moments; 1980 ;Image Translation
285;[HTML] Clinical translation and implementation of optical imaging agents for precision image-guided cancer surgery; 2021 ;Image Translation
286;Flexible, high performance convolutional neural networks for image classification; 2011 ;Image Translation
287;Metaphor and image in the discourse on translation: A historical survey; 2008 ;Image Translation
288;Unsupervised multi-modal neural machine translation; 2019 ;Image Translation
289;Evaluation framework on translation-invariant representation for cumulative foot pressure image; 2011 ;Image Translation
290;Change in Translation and the Image of the Translator; 1997 ;Image Translation
291;Gesturegan for hand gesture-to-gesture translation in the wild; 2018 ;Image Translation
292;One-shot unsupervised cross domain translation; 2018 ;Image Translation
293;Interpreting translation-invariant wavelet shrinkage as a new image smoothing scale space; 2001 ;Image Translation
294;An image-based automatic Arabic translation system; 2009 ;Image Translation
295;Digital image correlation using Newton-Raphson method of partial differential correction; 1989 ;Image Translation
